Rank,Peak,All Time Peak,Actual gross,Adjusted gross (in 2022 dollars),Artist,Tour title,Year(s),Shows,Average gross,Ref.
1,1,2,"$780,000,000 ","$780,000,000.00",Taylor Swift,The Eras Tour  ,2023-2024,56,13928571.00,[1]
2,1,7,"$579,800,000 ","$579,800,000.00",Beyonce,Renaissance World Tour,2023,56,10353571.00,[3]
3,1,2,"$411,000,000 ","$560,622,615.00",Madonna,Sticky & Sweet Tour ¡,2008-2009,85,4835294.00,[6]
4,2,10,"$397,300,000 ","$454,751,555.00",Pink,Beautiful Trauma World Tour,2018-2019,156,2546795.00,[7]
5,2,6,"$345,675,146 ","$402,844,849.00",Taylor Swift,Reputation Stadium Tour,2018,53,6522173.00,[8]
6,2,10,"$305,158,363 ","$388,978,496.00",Madonna,The MDNA Tour,2012,88,3467709.00,[9]
7,2,11,"$280,000,000 ","$381,932,682.00",Celine Dion,Taking Chances World Tour,2008-2009,131,2137405.00,[11]
7,2,12,"$257,600,000 ","$257,600,000.00",Pink,Summer Carnival  ,2023-2024,41,6282927.00,[12]
9,0,13,"$256,084,556 ","$312,258,401.00",Beyonce,The Formation World Tour,2016,49,5226215.00,[13]
10,0,14,"$250,400,000 ","$309,141,878.00",Taylor Swift,The 1989 World Tour,2015,85,2945882.00,[14]
11,0,15,"$229,100,000 ","$283,202,896.00",Beyonce,The Mrs. Carter Show World Tour,2013-2014,132,1735606.00,[15][16]
12,0,2,"$227,400,000 ","$295,301,479.00",Lady Gaga,The Monster Ball Tour ,2009-2011,203,1118227.00,[18]
13,0,3,"$204,000,000 ","$251,856,802.00",Katy Perry,Prismatic World Tour,2014-2015,151,1350993.00,[19]
14,1,4,"$200,000,000 ","$299,676,265.00",Cher,Living Proof: The Farewell Tour ¡,2002-2005,325,615385.00,[20]
15,2,7,"$194,000,000 ","$281,617,035.00",Madonna,Confessions Tour,2006,60,3233333.00,[5]
16,3,6,"$184,000,000 ","$227,452,347.00",Pink,The Truth About Love Tour,2013-2014,142,1295775.00,[22]
17,4,7,"$170,000,000 ","$213,568,571.00",Lady Gaga,Born This Way Ball,2012-2013,98,1734694.00,[d]
18,5,4,"$169,800,000 ","$207,046,755.00",Madonna,Rebel Heart Tour,2015-2016,82,2070732.00,[4]
19,1,9,"$167,700,000 ","$204,486,106.00",Adele,Adele Live 2016,2016-2017,121,1385950.00,[25]
20,7,10,"$150,000,000 ","$185,423,109.00",Taylor Swift,The Red Tour,2013-2014,86,1744186.00,[26]
